prAtipadika	antya	nAmapada	liNgam	viBakti	vacanam	rUpam
anaquh	h	nAma	puM	caturTI	bahu	anaqudByaH
anaquh	h	nAma	puM	paYcamI	eka	anaquhaH
anaquh	h	nAma	puM	paYcamI	dvi	anaqudByAm
anaquh	h	nAma	puM	paYcamI	bahu	anaqudByaH
anaquh	h	nAma	puM	zazWI	eka	anaquhaH
anaquh	h	nAma	puM	zazWI	dvi	anaquhoH
anaquh	h	nAma	puM	zazWI	bahu	anaquhAm
anaquh	h	nAma	puM	saptamI	eka	anaquhi
anaquh	h	nAma	puM	saptamI	dvi	anaquhoH
anaquh	h	nAma	puM	saptamI	bahu	anaqutsu
anaquh	h	nAma	puM	samboDana	eka	anaquvan
anaquh	h	nAma	puM	samboDana	dvi	anaqvAhO
anaquh	h	nAma	puM	samboDana	bahu	anaqvAhaH
kartf	tfc	nAma	puM	praTamA	eka	kartA
kartf	tfc	nAma	puM	praTamA	dvi	kartArO
kartf	tfc	nAma	puM	praTamA	bahu	kartAraH
kartf	tfc	nAma	puM	dvitIyA	eka	kartAram
kartf	tfc	nAma	puM	dvitIyA	dvi	kartArO
kartf	tfc	nAma	puM	dvitIyA	bahu	kartFn
kartf	tfc	nAma	puM	tftIyA	eka	kartrA
kartf	tfc	nAma	puM	tftIyA	dvi	kartfByAm
kartf	tfc	nAma	puM	tftIyA	bahu	kartfBiH
kartf	tfc	nAma	puM	caturTI	eka	kartre
kartf	tfc	nAma	puM	caturTI	dvi	kartfByAm
kartf	tfc	nAma	puM	caturTI	bahu	kartfByaH
kartf	tfc	nAma	puM	paYcamI	eka	kartuH
kartf	tfc	nAma	puM	paYcamI	dvi	kartfByAm
kartf	tfc	nAma	puM	paYcamI	bahu	kartfByaH
kartf	tfc	nAma	puM	zazWI	eka	kartuH
kartf	tfc	nAma	puM	zazWI	dvi	kartroH
kartf	tfc	nAma	puM	zazWI	bahu	katFRAm
kartf	tfc	nAma	puM	saptamI	eka	kartari
kartf	tfc	nAma	puM	saptamI	dvi	kartroH
kartf	tfc	nAma	puM	saptamI	bahu	kartfzu
kartf	tfc	nAma	puM	samboDana	eka	kartaH
kartf	tfc	nAma	puM	samboDana	dvi	he kartArO
kartf	tfc	nAma	puM	samboDana	bahu	kartAraH
Bavat	at	nAma	puM	praTamA	eka	BavAn
Bavat	at	nAma	puM	praTamA	dvi	BavantO
Bavat	at	nAma	puM	praTamA	bahu	BavantaH
Bavat	at	nAma	puM	dvitIyA	eka	Bavantam
Bavat	at	nAma	puM	dvitIyA	dvi	BavantO
Bavat	at	nAma	puM	dvitIyA	bahu	BavataH
Bavat	at	nAma	puM	tftIyA	eka	BavatA
Bavat	at	nAma	puM	tftIyA	dvi	BavadByAm
Bavat	at	nAma	puM	tftIyA	bahu	BavadBiH
Bavat	at	nAma	puM	caturTI	eka	Bavate
Bavat	at	nAma	puM	caturTI	dvi	BavadByAm
Bavat	at	nAma	puM	caturTI	bahu	BavadByaH
Bavat	at	nAma	puM	paYcamI	eka	BavataH
Bavat	at	nAma	puM	paYcamI	dvi	BavadByAm
Bavat	at	nAma	puM	paYcamI	bahu	BavadByaH
Bavat	at	nAma	puM	zazWI	eka	BavataH
Bavat	at	nAma	puM	zazWI	dvi	BavatoH
Bavat	at	nAma	puM	zazWI	bahu	BavatAm
Bavat	at	nAma	puM	saptamI	eka	Bavati
Bavat	at	nAma	puM	saptamI	dvi	BavatoH
Bavat	at	nAma	puM	saptamI	bahu	Bavatsu
Bavat	at	nAma	puM	samboDana	eka	Bavan
Bavat	at	nAma	puM	samboDana	dvi	BavantO
Bavat	at	nAma	puM	samboDana	bahu	BavantaH
karin	in	nAma	puM	praTamA	eka	karI
karin	in	nAma	puM	praTamA	dvi	kariRO
karin	in	nAma	puM	praTamA	bahu	kariRaH
karin	in	nAma	puM	dvitIyA	eka	kariRam
karin	in	nAma	puM	dvitIyA	dvi	kariRO
karin	in	nAma	puM	dvitIyA	bahu	kariRaH
karin	in	nAma	puM	tftIyA	eka	kariRA
karin	in	nAma	puM	tftIyA	dvi	kariByAm
karin	in	nAma	puM	tftIyA	bahu	kariBiH
karin	in	nAma	puM	caturTI	eka	kariRe
karin	in	nAma	puM	caturTI	dvi	kariByAm
karin	in	nAma	puM	caturTI	bahu	kariByaH
karin	in	nAma	puM	paYcamI	eka	kariRaH
karin	in	nAma	puM	paYcamI	dvi	kariByAm
karin	in	nAma	puM	paYcamI	bahu	kariByaH
karin	in	nAma	puM	zazWI	eka	kariRaH
karin	in	nAma	puM	zazWI	dvi	kariRoH
karin	in	nAma	puM	zazWI	bahu	karIRAm
karin	in	nAma	puM	saptamI	eka	kariRi
karin	in	nAma	puM	saptamI	dvi	kariRoH
karin	in	nAma	puM	saptamI	bahu	karizu
karin	in	nAma	puM	samboDana	eka	karin
karin	in	nAma	puM	samboDana	dvi	he kariRO
karin	in	nAma	puM	samboDana	bahu	kariRaH
Bagavat	vat	nAma	puM	praTamA	eka	BagavAn
Bagavat	vat	nAma	puM	praTamA	dvi	BagavantO
Bagavat	vat	nAma	puM	praTamA	bahu	BagavantaH
Bagavat	vat	nAma	puM	dvitIyA	eka	Bagavantam
Bagavat	vat	nAma	puM	dvitIyA	dvi	BagavantO
Bagavat	vat	nAma	puM	dvitIyA	bahu	BagavataH
Bagavat	vat	nAma	puM	tftIyA	eka	BagavatA
Bagavat	vat	nAma	puM	tftIyA	dvi	BagavadByAm
Bagavat	vat	nAma	puM	tftIyA	bahu	BagavadBiH
Bagavat	vat	nAma	puM	caturTI	eka	Bagavate
Bagavat	vat	nAma	puM	caturTI	dvi	BagavadByAm
Bagavat	vat	nAma	puM	caturTI	bahu	BagavadByaH
Bagavat	vat	nAma	puM	paYcamI	eka	BagavataH
Bagavat	vat	nAma	puM	paYcamI	dvi	BagavadByAm
Bagavat	vat	nAma	puM	paYcamI	bahu	BagavadByaH
Bagavat	vat	nAma	puM	zazWI	eka	BagavataH
Bagavat	vat	nAma	puM	zazWI	dvi	BagavatoH
Bagavat	vat	nAma	puM	zazWI	bahu	BagavatAm
Bagavat	vat	nAma	puM	saptamI	eka	Bagavati
Bagavat	vat	nAma	puM	saptamI	dvi	BagavatoH
Bagavat	vat	nAma	puM	saptamI	bahu	Bagavatsu
Bagavat	vat	nAma	puM	samboDana	eka	Bagavan
Bagavat	vat	nAma	puM	samboDana	dvi	he BagavantO
Bagavat	vat	nAma	puM	samboDana	bahu	BagavantaH
DImat	mat	nAma	puM	praTamA	eka	DImAn
DImat	mat	nAma	puM	praTamA	dvi	DImantO
DImat	mat	nAma	puM	praTamA	bahu	DImantaH
DImat	mat	nAma	puM	dvitIyA	eka	DImantam
DImat	mat	nAma	puM	dvitIyA	dvi	DImantO
DImat	mat	nAma	puM	dvitIyA	bahu	DImataH
DImat	mat	nAma	puM	tftIyA	eka	DImatA
DImat	mat	nAma	puM	tftIyA	dvi	DImadByAm
