	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
	यूयं युङ्क्थ	यूयं युङ्क्त	यूयम् अयुङ्क्त	यूयं युञ्ज्यात	यूयं योक्ष्यथ	यूयं योक्तास्थ	यूयं युज्यास्त	यूयम् अयोक्ष्यत	यूयं युयुज	यूयम् अयौक्त
										
उत्तमपुरुषः	अहं युनज्मि	अहं युनजानि	अहम् अयुनजम्	अहं युञ्ज्याम्	अहं योक्ष्यामि	अहं योक्तास्मि	अहं युज्यासम्	अहम् अयोक्ष्यम्	अहं युयोज	अहम् अयौक्षम्
	आवां युञ्ज्वः	आवां युनजाव	आवाम् अयुञ्ज्व	आवां युञ्ज्याव	आवां योक्ष्यावः	आवां योक्तास्वः	आवां युज्यास्व	आवाम् अयोक्ष्याव	आवां युयुजिव	आवाम् अयौक्ष्व
	वयं युञ्ज्मः	वयं युनजाम	वयम् अयुञ्ज्म	वयं युञ्ज्याम	वयं योक्ष्यामः	वयं योक्तास्मः	वयं युज्यास्म	वयम् अयोक्ष्याम	वयं युयुजिम	वयम् अयौक्ष्म
										
तनादिगणः										
प्रथमपुरुषः	बालकः/बालिका कार्यं करोति	बालकः/बालिका कार्यं करोतु	बालकः/बालिका कार्यम् अकरोत्	बालकः/बालिका कार्यं कुर्यात्	बालकः/बालिका कार्यं करिष्यति	बालकः/बालिका कार्यं कर्ता	बालकः/बालिका कार्यं क्रियात्	बालकः/बालिका कार्यम् अकरिष्यत्	बालकः/बालिका कार्यं चकार	बालकः/बालिका कार्यम् अकार्षीत्
	बालकौ/बालिके कार्ये कुरुतः	बालकौ/बालिके कार्ये कुरुतः	बालकौ/बालिके कार्ये अकुरुताम्	बालकौ/बालिके कार्ये कुर्याताम्	बालकौ/बालिके कार्ये करिष्यतः	बालकौ/बालिके कार्ये कर्तारौ	बालकौ/बालिके कार्ये क्रियास्ताम्	बालकौ/बालिके कार्ये अकरिष्यताम्	बालकौ/बालिके कार्ये चक्रतुः	बालकौ/बालिके कार्ये अकार्ष्टाम्
	बालकाः/बालिकाः कार्याणि कुर्वन्ति	बालकाः/बालिकाः कार्याणि कुर्वन्तु	बालकाः/बालिकाः कार्याणि अकुर्वन्	बालकाः/बालिकाः कार्याणि कुर्युः	बालकाः/बालिकाः कार्याणि करिष्यन्ति	बालकाः/बालिकाः कार्याणि कर्तारः	बालकाः/बालिकाः कार्याणि क्रियासुः	बालकाः/बालिकाः कार्याणि अकरिष्यन्	बालकाः/बालिकाः कार्याणि चक्रुः	बालकाः/बालिकाःअकार्षुः
										
मध्यमपुरुषः	त्वं कार्यं करोषि	त्वं कार्यं कुरु	त्वं कार्यम् अकरोः	त्वं कार्यं कुर्याः	त्वं कार्यं करिष्यसि	त्वं कार्यं कर्तासि	त्वं कार्यं क्रियाः	त्वं कार्यम् अकरिष्यः	त्वं कार्यं चकर्थ	त्वं कार्यम् अकार्षीः
